"","1.passive","2.passive","3.passive","4.passive","1.active","2.active","3.active","4.active"
"001.2016",0,0,0,NA,0,0,0,NA
"001.2017",0,0,NA,NA,1,1,NA,NA
"002.2016",0,0,0,NA,0,0,0,NA
"002.2017",0,0,NA,NA,0,0,NA,NA
"004.2016",0,0,0,NA,0,0,0,NA
"004.2017",0,0,NA,NA,0,0,NA,NA
"005.2016",1,0,0,NA,1,0,0,NA
"005.2017",0,0,NA,NA,1,1,NA,NA
"006.2016",0,0,0,NA,0,0,0,NA
"006.2017",0,0,NA,NA,0,0,NA,NA
"008.2016",0,0,NA,NA,0,0,NA,NA
"008.2017",0,0,NA,NA,0,0,NA,NA
"009.2016",0,0,NA,NA,0,0,NA,NA
"009.2017",0,0,NA,NA,0,0,NA,NA
"010.2016",0,0,0,NA,0,0,1,NA
"010.2017",0,0,NA,NA,0,0,NA,NA
"011.2016",0,0,0,NA,0,0,0,NA
"011.2017",0,0,NA,NA,0,0,NA,NA
"012.2016",0,0,NA,NA,0,0,NA,NA
"012.2017",0,0,NA,NA,0,0,NA,NA
"013.2016",0,0,NA,NA,0,0,NA,NA
"013.2017",0,NA,NA,NA,0,NA,NA,NA
"014.2016",0,NA,NA,NA,0,NA,NA,NA
"014.2017",0,0,NA,NA,0,0,NA,NA
"015.2016",0,0,NA,NA,0,0,NA,NA
"015.2017",0,1,NA,NA,0,0,NA,NA
"016.2016",1,0,0,NA,1,0,0,NA
"016.2017",0,0,NA,NA,1,0,NA,NA
"019.2016",0,1,NA,NA,1,1,NA,NA
"019.2017",0,0,NA,NA,0,0,NA,NA
"025.2016",0,0,NA,NA,0,0,NA,NA
"025.2017",0,0,0,NA,0,0,0,NA
"028.2016",0,0,0,NA,0,0,0,NA
"028.2017",0,0,NA,NA,0,0,NA,NA
"029.2016",0,0,NA,NA,0,0,NA,NA
"029.2017",0,0,NA,NA,0,0,NA,NA
"030.2016",0,0,NA,NA,0,0,NA,NA
"030.2017",0,0,0,NA,0,0,0,NA
"033.2016",0,0,NA,NA,0,0,NA,NA
"033.2017",0,0,NA,NA,0,0,NA,NA
"034.2016",0,0,0,NA,0,0,0,NA
"034.2017",0,0,NA,NA,0,0,NA,NA
"035.2016",0,0,0,NA,0,0,0,NA
"035.2017",0,0,NA,NA,0,0,NA,NA
"036.2016",0,0,0,NA,0,0,0,NA
"036.2017",0,0,NA,NA,0,0,NA,NA
"037.2016",0,0,NA,NA,0,0,NA,NA
"037.2017",0,0,NA,NA,0,0,NA,NA
"038.2016",0,0,0,NA,0,0,0,NA
"038.2017",0,0,0,NA,0,0,0,NA
"039.2016",0,0,NA,NA,0,0,NA,NA
"039.2017",0,0,NA,NA,0,0,NA,NA
"040.2016",0,0,NA,NA,0,0,NA,NA
"040.2017",0,0,NA,NA,0,0,NA,NA
"042.2016",0,0,0,NA,0,0,0,NA
"042.2017",0,0,0,NA,0,0,0,NA
"045.2016",0,0,0,NA,0,0,0,NA
"045.2017",0,0,NA,NA,0,0,NA,NA
"046.2016",0,0,0,NA,0,0,0,NA
