,psi(Int),psi(Dist_to_For),psi(Juncus),psi(year2017),p(Int),p(I(time^2)),psi(Herb_hits),psi(Woody_height),p(time),psi(num.fires),p(date),p(typepassive),p(I(date^2)),psi(Cladium),spec,quantity
1,-12.95475162,0.661696859,1.049936687,12.31355111,1.660708133,-0.294817226,NA,NA,NA,NA,NA,NA,NA,NA,SESP,mean
2,38.67947622,0.271584415,0.271542252,38.68003219,0.277004209,0.182225145,NA,NA,NA,NA,NA,NA,NA,NA,SESP,se
3,1.661358286,NA,1.179048218,-1.829863488,0.957456621,-0.238464027,-0.659323621,NA,-0.305642773,0.725395797,-0.29560423,-0.526691524,-0.378073506,NA,CLRA,mean
4,0.348300382,NA,0.249593794,0.479476168,0.184606875,0.082487498,0.244202192,NA,0.102200517,0.242017142,0.096234186,0.177444519,0.097773215,NA,CLRA,se
5,-1.057705867,NA,NA,-1.092130136,-0.560469565,-0.379336141,NA,-0.531606663,NA,NA,0.613469652,NA,NA,NA,LEBI,mean
6,0.287635596,NA,NA,0.49241903,0.285361333,0.198481344,NA,0.292200832,NA,NA,0.227327885,NA,NA,NA,LEBI,se
7,-0.04995382,NA,1.035085743,-0.36790939,0.151317556,NA,-0.896431719,-0.392758867,-0.442612655,NA,-0.272273373,-0.850442265,NA,0.73025581,VIRA,mean
8,0.255602158,NA,0.281593005,0.407977684,0.160191173,NA,0.263895917,0.223706697,0.125199971,NA,0.112388983,0.210821155,NA,0.269306185,VIRA,se
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,int,-0.04995382,,,,,,,,,,,,,
,,int,0.255602158,,,,,,,,,,,,,
,,dist,NA,,,,,,,,,,,,,
,,dist,NA,,,,,,,,,,,,,
,,juncsu,1.035085743,,,,,,,,,,,,,
,,juncsu,0.281593005,,,,,,,,,,,,,
,,year,-0.36790939,,,,,,,,,,,,,
,,yrea,0.407977684,,,,,,,,,,,,,
,,herb,-0.896431719,,,,,,,,,,,,,
,,herb,0.263895917,,,,,,,,,,,,,
,,woody,-0.392758867,,,,,,,,,,,,,
,,woody,0.223706697,,,,,,,,,,,,,
,,fire,NA,,,,,,,,,,,,,
,,fire,NA,,,,,,,,,,,,,
,,cladium,0.73025581,,,,,,,,,,,,,
,,cladium,0.269306185,,,,,,,,,,,,,
