"","PointID","Year","Herb_hits","Herb_height","Woody_hits","Woody_height","Bare","Wrack","Tree","Snag","Juncus","Cladium","Typha","SpartinaPatens","Phragmites","Scirpus","Distichlis","Andropogon","Shrub.Woody","PointYr"
"1","001",2016,6.53333333333333,1.01666666666667,0,0,2,0.666666666666667,0,0,6.33333333333333,0,0,0.666666666666667,0,2.66666666666667,0.333333333333333,0,0,"001.2016"
"2","001",2017,4.3,1.195,0,0,0.5,3,0,0,6,0,0,0,0,4,0,0,0,"001.2017"
"3","002",2016,7.76666666666667,1.31333333333333,0,0,0.666666666666667,4.33333333333333,0,0,10,0,0,0,0,0,0,0,0,"002.2016"
"4","002",2017,5.95,1.365,0,0,0.5,3,0,0,9,0,0,0,0,0.5,0.5,0,0,"002.2017"
"5","004",2016,2.1,0.53,0,0,3.66666666666667,0,0,2.66666666666667,1.66666666666667,0,0,5,0,0.333333333333333,3,0,0,"004.2016"
"6","004",2017,3.5,0.81,0,0,10,0,0,1,0,0,0,1,0,5,4,0,0,"004.2017"
"7","005",2016,6.26666666666667,0.856666666666667,0,0,1,0,0,0,4.66666666666667,0,0.333333333333333,0,0,1.66666666666667,0,0,0,"005.2016"
"8","005",2017,5.45,0.92,0,0,5.5,1,0,0,3.5,3,0,1,0,2,0,0,0,"005.2017"
"9","006",2016,6.9,1.02,0,0,1,0.5,0,3.5,4,0,0,0,0,6,0,0,0,"006.2016"
"10","006",2017,2.63333333333333,0.636666666666667,0,0,6.66666666666667,0,0,1.66666666666667,1.66666666666667,0,0,0,0,6.33333333333333,2,0,0,"006.2017"
"11","008",2016,8.85,1.775,0.4,2.2,1,2.5,4.5,6.5,0,8,0,0,2,0,0,0,0,"008.2016"
"12","008",2017,7.165,1.445,1.5,0.25,0,0,1,3,0,3.5,0,0,6,0,0,0,0.5,"008.2017"
"13","009",2016,8,0.985,0.4,1.085,0,3,2,3.5,7,0,0,1,0,0,0,0,2,"009.2016"
"14","009",2017,3.9,1.145,0.3,1.25,5,0,0,1.5,5.5,0,0,0,1,0,1,0,1.5,"009.2017"
"15","010",2016,7.53333333333333,1.26666666666667,0.4,0.91,0,1.33333333333333,0,0.333333333333333,2,7,0,0.666666666666667,0,0,0.333333333333333,0,0,"010.2016"
"16","010",2017,5.35,3.95,0.15,0.6,4,0.5,0,0,2.5,2.5,0,2.5,0,0,2,0,0,"010.2017"
"17","011",2016,5.73333333333333,1.17,0,0,1.33333333333333,2.66666666666667,0,0,0,8.66666666666667,0,0,1.33333333333333,0,0,0,0,"011.2016"
"18","011",2017,5.15,1.235,0,0,6,0,0,2,0,8,0,0,2,0,0,0,0,"011.2017"
"19","012",2016,10.6,1.24,1,1.4666666665,0,1.5,1,7,0,7.5,0,0,0,0,0,0,1.5,"012.2016"
"20","012",2017,4.565,1.445,0,0,0,1,3.5,4,0,10,0,0,0,0,0,0,0,"012.2017"
"21","013",2016,8.45,1.525,0.2,1.45,0,2.5,0,1.5,0,10,0,0,0,0,0,0,0,"013.2016"
"22","013",2017,5.4,1.45,0,0,0,1,0,5,0,8,0,0,2,0,0,0,0,"013.2017"
"23","014",2016,5.5,1.27,1.3,1.25,2,1,19.5,23.5,0,6.5,0,0.5,0,0,0,0,0.5,"014.2016"
