Observer,Date,Time,Visit,foot_boat,Property,PointID,X-coord,Y_coord,Wind,Noise,Species,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Min_9,Min_10,Notes
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,CLRA,,,,,,,,,,1,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,KCLRA,,,,1,,1,1,,1,,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,KCLRA,,,,1,,,,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,KCRA,,,,1,,,1,,1,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,KCRA,,,,1,,,,,1,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,KCRA,,,,,,,,,,1,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,LEBI,,,,,,1,,,,1,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,LEBI,,,,,,,,,,1,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,SESP,1,,1,,1,,,,,,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,SESP,1,1,1,1,1,1,,,,,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,SESP,,1,1,,,,1,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,SESP,1,1,1,,,1,,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,SESP,1,1,,,1,,,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,SESP,1,,1,,,,,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,SESP,,,1,1,1,,,,1,,
E. Caffrey,5/15/2017,8:30,1,Foot,Gull Rock,1,,,2,1,VIRA,,,,,,,,,,1,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,1,,,2,1,VIRA,,,,,,,,,,1,
E. Caffrey,5/15/2017,9:11,1,Foot,Gull Rock,2,,,3,1,NONE,,,,,,,,,,,
G. Loia,5/15/2017,8:30,2,Foot,Gull Rock,2,,,2,1,VIRA,,,,,,1,,,,,
E. Caffrey,5/4/2017,6:56,1,Foot,Gull Rock,4,,,4,3,KIRA,1,1,1,,,1,1,1,1,1,
E. Caffrey,5/4/2017,6:56,1,Foot,Gull Rock,4,,,4,3,KIRA,,,,,1,,,,1,,
E. Caffrey,5/4/2017,6:56,1,Foot,Gull Rock,4,,,4,3,KIRA,,,,,,,1,1,,1,
E. Caffrey,5/4/2017,6:56,1,Foot,Gull Rock,4,,,4,3,SESP,,,,,,,1,,,,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,SESP,,1,1,1,1,1,1,,1,,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,SESP,,,1,1,,1,1,,,1,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,SESP,,,,1,1,1,1,1,,,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,KCRA,,,,1,,,,,1,,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,KCRA,,,,,1,,,,,1,
G. Loia,6/16/2017,6:26,2,Foot,Gull Rock,4,,,1,1,SESP,,,,,1,1,,1,,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,CLRA,1,1,,,,,,,,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,CLRA,,,,,,,,,1,,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,KCRA,1,1,1,1,,1,,1,1,,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,KCRA,1,1,,,,,,,,,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,KCRA,,,,1,1,1,1,,1,1,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,KCRA,,,,,,,,,1,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,KIRA,1,1,1,1,1,1,1,1,1,1,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,KIRA,,,,1,1,1,,,1,1,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,LEBI,,,,,,,,,1,,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,LEBI,,,,,,,,1,,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,SESP,1,1,1,1,1,1,1,1,1,1,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,SESP,,1,1,1,1,,1,1,,1,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,SESP,,1,,1,1,1,1,,,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,SESP,,,,,,,1,1,1,1,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,SESP,1,1,,1,1,1,,,,1,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,SESP,,1,1,,,,1,,,1,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,SESP,,,1,,,,,1,1,,
G. Loia,5/15/2017,7:39,2,Foot,Gull Rock,5,,,2,1,SESP,,,,,,1,,1,,,
E. Caffrey,5/15/2017,7:39,1,Foot,Gull Rock,5,,,3,1,VIRA,,,,,,,,,,1,
E. Caffrey,5/4/2017,7:35,1,Foot,Gull Rock,6,,,4,3,CLRA,,,,,,,,,,1,
E. Caffrey,5/4/2017,7:35,1,Foot,Gull Rock,6,,,4,3,CLRA,,,,,,,,,,1,
E. Caffrey,5/4/2017,7:35,1,Foot,Gull Rock,6,,,4,3,KIRA,,1,,,,,,,,,
E. Caffrey,5/4/2017,7:35,1,Foot,Gull Rock,6,,,4,3,SORA,,,,,,,1,,,,
E. Caffrey,5/4/2017,7:35,1,Foot,Gull Rock,6,,,4,3,VIRA,,,,1,,1,1,,,,
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,SESP,1,1,1,1,1,1,1,1,,1,
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,SESP,,,1,,,,,,,,
G. Loia,6/16/2017,7:03,2,Foot,Gull Rock,6,,,2,1,KCRA,,,,,1,,,1,1,,
