Observer,Date,Year,Visit,Property,PointID,Salinity,Herb_hits,Herb_height,Woody_hits,Woody_height,Bare,Wrack,Tree,Snag,Juncus,Cladium,Typha,SpartinaPatens,Phragmites,Scirpus,Distichlis ,Andropogon,Shrub/Woody,SpartinaAlternaflora,Notes,,,, 
E. Caffrey,5/4/2017,2017,1,Gull Rock,4,,3.5,0.81,0,0,10,0,0,1,0,0,0,1,0,5,4,0,0,,,,,,
E. Caffrey,5/4/2017,2017,1,Gull Rock,6,,2.2,0.64,0,0,8,0,0,4,1,0,0,0,0,9,0,0,0,,,,,,
G. Loia,5/4/2017,2017,1,Gull Rock,8,,2,1.39,0,0,0,0,2,6,0,0,0,0,10,0,0,0,0,,,,,,
G. Loia,5/3/2017,2017,1,Swanquarter,9,,3.1,1.18,0.2,1,7,0,0,1,7,0,0,0,2,0,0,0,0,,,,,,
G. Loia,5/3/2017,2017,1,Swanquarter,10,,6,1,0,0,4,1,0,0,5,1,0,2,0,0,1,0,0,,,,,,
G. Loia,5/3/2017,2017,1,Swanquarter,11,,5.8,1.26,0,0,3,0,0,2,0,6,0,0,4,0,0,0,0,,,,,,
E. Caffrey,5/3/2017,2017,1,Swanquarter,12,,8,1.39,0,0,0,2,2,2,0,10,0,0,0,0,0,0,0,,,,,,
E. Caffrey,5/3/2017,2017,1,Swanquarter,13,,5.4,1.45,0,0,0,1,0,5,0,8,0,0,2,0,0,0,0,,,,,,
E. Caffrey,5/3/2017,2017,1,Swanquarter,14,,5.7,1.22,0,0,0,0,5,4,0,8,0,1,0,0,0,0,1,,,,,,
G. Loia,5/3/2017,2017,1,Swanquarter,15,,8.2,1.26,0,0,6,0,1,3,0,10,0,0,0,0,0,0,0,,,,,,
G. Loia,5/3/2017,2017,1,Swanquarter,16,,5.1,0.72,0,0,10,0,0,0,0,5,0,1,0,0,2,0,0,,,,,,
G. Loia,4/18/2017,2017,1,Long Shoal,25,,2.2,0.58,0.1,1.5,5,0,3,8,0,1,0,2,0,0,2,0,4,,,,,,
G. Loia,4/13/2017,2017,1,Long Shoal,28,,3.4,0.62,0,0,0,0,0,0,0,3,0,1,1,3,2,0,0,,,,,,
E. Caffrey,4/13/2017,2017,2,Long Shoal,28,,2.2,0.62,0.2,0,0,4,0,3,0,0,0,0,0,10,0,0,0,,,,,,
G. Loia,4/17/2017,2017,1,Long Shoal,29,,7.1,1.25,0,0,6,0,0,5,0,10,0,0,0,0,0,0,0,,,,,,
