FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,166489_44k.wav,0,847.806,0.394,1120,3131,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.906361,cluster.02,0.946758,cluster.01,0.996516,1,BLRA
,166489_44k.wav,0,841.929,0.421,947,3118,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.903766,cluster.01,0.942977,cluster.09,0.987511,1,BLRA
,166489_44k.wav,0,28.653,0.421,517,2885,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.880715,cluster.01,0.962032,cluster.04,0.970331,1,BLRA
,166489_44k.wav,0,23.02,0.421,345,2922,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.879393,cluster.02,0.915429,cluster.04,0.941579,1,BLRA
,166489_44k.wav,0,656.204,0.549,1120,3133,6891,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.867729,cluster.02,0.987325,cluster.01,0.992232,1,BLRA
,166489_44k.wav,0,445.898,0.474,603,2869,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.832032,cluster.01,0.929892,cluster.10,1.047926,1,BLRA
,166489_44k.wav,0,37.957,0.437,431,2803,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.829859,cluster.02,0.903163,cluster.04,0.947534,1,BLRA
,166489_44k.wav,0,99.878,0.368,1120,3146,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.806479,cluster.01,0.913288,cluster.02,0.966857,1,BLRA
,166489_44k.wav,1,31.104,0.437,517,2472,5685,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.803302,cluster.01,0.814626,cluster.03,0.922104,1,BLRA
,166489_44k.wav,0,31.104,0.421,431,2817,5599,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.796721,cluster.02,0.881972,cluster.04,0.921535,1,BLRA
,166489_44k.wav,1,480.748,0.458,603,2560,5685,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.783465,cluster.02,0.930343,cluster.01,0.969099,1,BLRA
,166489_44k.wav,0,911.491,0.57,517,3030,5857,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.781198,cluster.01,0.871084,cluster.02,0.878048,1,BLRA
,166490_44k.wav,1,193.025,0.528,431,3007,6029,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.770886,cluster.02,0.818495,cluster.16,0.856426,1,BLRA
,166489_44k.wav,0,60.226,0.448,775,2882,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.765502,cluster.02,0.792868,cluster.16,0.809006,1,BLRA
,166490_44k.wav,1,261.063,0.442,517,2801,5685,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.763782,cluster.02,0.841962,cluster.01,0.895801,1,BLRA
,166490_44k.wav,1,372.787,0.591,1378,2853,4048,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.754378,cluster.01,0.87636,cluster.16,0.922087,1,BLRA
,166489_44k.wav,0,87.446,0.469,517,2782,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.749475,cluster.02,0.855659,cluster.04,0.884342,1,BLRA
,166490_44k.wav,0,288.213,0.506,517,3003,5599,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.748261,cluster.16,0.81648,cluster.01,0.844213,1,BLRA
,166489_44k.wav,0,114.441,0.453,1120,3079,5513,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.746071,cluster.02,0.814416,cluster.03,0.923208,1,BLRA
,166489_44k.wav,1,196.419,0.464,517,2587,5771,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.743389,cluster.01,0.942384,cluster.02,0.982928,1,BLRA
,166490_44k.wav,0,164.601,0.677,517,2587,5254,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.738286,cluster.01,0.887463,cluster.16,0.960345,1,BLRA
,166489_44k.wav,1,223.394,0.517,258,2664,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.728304,cluster.02,0.876693,cluster.01,0.906019,1,BLRA
,166490_44k.wav,1,89.492,0.458,517,2753,6115,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.726721,cluster.01,0.86065,cluster.02,0.873513,1,BLRA
,166490_44k.wav,1,69.178,0.597,517,1792,5513,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.725845,cluster.01,0.841123,cluster.09,0.969805,1,BLRA
,166489_44k.wav,1,106.283,0.453,517,2547,5513,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.725407,cluster.16,0.786945,cluster.01,0.921805,1,BLRA
,166490_44k.wav,0,193.025,0.528,603,3190,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.709832,cluster.02,0.826492,cluster.01,0.876694,1,BLRA
,166489_44k.wav,1,489.184,0.591,517,2596,5254,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.708851,cluster.01,0.825477,cluster.02,1.034677,1,BLRA
,166489_44k.wav,0,438.187,0.464,603,2979,5599,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.696315,cluster.02,0.773354,cluster.04,0.840928,1,BLRA
,166489_44k.wav,1,915.77,0.581,517,2925,6029,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.695678,cluster.02,0.785199,cluster.01,0.848643,1,BLRA
,166489_44k.wav,0,967.022,0.474,431,2696,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.694647,cluster.02,0.851209,cluster.04,0.900392,1,BLRA
,166489_44k.wav,0,332.458,0.437,517,2801,5599,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.694298,cluster.02,0.73028,cluster.04,0.853085,1,BLRA
,166489_44k.wav,0,970.619,0.469,517,2884,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.694258,cluster.01,0.822913,cluster.04,0.980972,1,BLRA
,166489_44k.wav,0,35.964,0.421,431,2833,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.693673,cluster.01,0.87212,cluster.02,0.937074,1,BLRA
,166489_44k.wav,1,192.791,0.458,517,2603,5426,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.68608,cluster.01,0.837809,cluster.02,1.037301,1,BLRA
,166489_44k.wav,0,268.912,0.437,431,2734,6977,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.685596,cluster.02,0.718197,cluster.04,0.791642,1,BLRA
,166490_44k.wav,0,46.547,0.602,431,2586,5943,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.682386,cluster.01,0.725491,cluster.10,1.085349,1,BLRA
,166489_44k.wav,0,590.708,0.464,1120,3105,5513,1/1/1970,00:00.0,0,12/31/1969,00:00.0,12,cluster.00,0.679796,cluster.01,0.876201,cluster.02,0.905956,1,BLRA
