FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,S4A01593_20160506_225407.wav,0,2260.779,0.955,3094,3386,3563,5/6/2016,31:47.8,23,5/6/2016,31:47.8,11,non focal,0.128126,VIRA grunt,0.128126,VIRA call,0.128126,1,non focal
,S4A01593_20160506_225407.wav,0,2204.624,1.211,3094,3393,3656,5/6/2016,30:51.6,23,5/6/2016,30:51.6,11,non focal,0.137653,VIRA grunt,0.137653,VIRA call,0.137653,1,non focal
,S4A01593_20160506_225407.wav,1,2297.317,2.283,3094,3385,3656,5/6/2016,32:24.3,23,5/6/2016,32:24.3,11,non focal,0.137844,VIRA grunt,0.137844,VIRA call,0.137844,1,non focal
,S4A01593_20160506_225407.wav,0,3281.355,1.851,3000,3395,3656,5/6/2016,48:48.4,23,5/6/2016,48:48.4,11,non focal,0.150572,VIRA grunt,0.150572,VIRA call,0.150572,1,non focal
,S4A01593_20160506_225407.wav,1,2290.72,1.339,3000,3365,3563,5/6/2016,32:17.7,23,5/6/2016,32:17.7,11,non focal,0.158072,VIRA grunt,0.158072,VIRA call,0.158072,1,non focal
,S4A01593_20160506_225407.wav,0,2221.573,1.387,3094,3471,8906,5/6/2016,31:08.6,23,5/6/2016,31:08.6,11,non focal,0.161846,VIRA grunt,0.161846,VIRA call,0.161846,1,non focal
,S4A01593_20160506_225407.wav,0,2290.645,1.413,3000,3375,3750,5/6/2016,32:17.7,23,5/6/2016,32:17.6,11,non focal,0.163885,VIRA grunt,0.163885,VIRA call,0.163885,1,non focal
,S4A01593_20160506_225407.wav,0,2209.216,1.392,3000,3380,3656,5/6/2016,30:56.2,23,5/6/2016,30:56.2,11,non focal,0.165411,VIRA grunt,0.165411,VIRA call,0.165411,1,non focal
,S4A01593_20160506_225407.wav,0,3278.613,2.352,3000,3389,3656,5/6/2016,48:45.6,23,5/6/2016,48:45.6,11,non focal,0.17213,VIRA grunt,0.17213,VIRA call,0.17213,1,non focal
,S4A01593_20160506_225407.wav,0,1743.637,0.731,3094,3401,3844,5/6/2016,23:10.6,23,5/6/2016,23:10.6,11,non focal,0.176802,VIRA grunt,0.176802,VIRA call,0.176802,1,non focal
,S4A01593_20160506_225407.wav,0,2193.648,3.376,1125,3344,3656,5/6/2016,30:40.7,23,5/6/2016,30:40.7,11,non focal,0.179412,VIRA grunt,0.179412,VIRA call,0.179412,1,non focal
,S4A01593_20160506_225407.wav,0,2151.957,1.157,3094,3394,3656,5/6/2016,29:59.0,23,5/6/2016,29:59.0,11,non focal,0.180127,VIRA grunt,0.180127,VIRA call,0.180127,1,non focal
,S4A01593_20160506_225407.wav,0,2328.779,1.243,3094,3382,3563,5/6/2016,32:55.8,23,5/6/2016,32:55.8,11,non focal,0.189082,VIRA grunt,0.189082,VIRA call,0.189082,1,non focal
,S4A01593_20160506_225407.wav,0,3161.456,7.264,1125,3377,3656,5/6/2016,46:48.5,23,5/6/2016,46:48.5,11,non focal,0.192311,VIRA grunt,0.192311,SESP,0.192311,1,non focal
,S4A01593_20160506_225407.wav,0,3585.488,1.52,3094,3395,3656,5/6/2016,53:52.5,23,5/6/2016,53:52.5,11,non focal,0.196543,VIRA grunt,0.196543,VIRA call,0.196543,1,non focal
