"","Var1","Freq"
"1","cluster.00",100
"2","cluster.01",108
"3","cluster.02",621
"4","cluster.03",117
"5","cluster.04",362
"6","cluster.05",60
"7","cluster.06",151
"8","cluster.07",120
"9","cluster.08",44
"10","cluster.09",124
"11","cluster.10",95
"12","cluster.11",53
"13","cluster.12",77
"14","cluster.13",47
"15","cluster.14",45
"16","cluster.15",18
"17","cluster.16",84
"18","cluster.17",52
"19","cluster.18",47
"20","cluster.19",96
"21","cluster.20",27
"22","cluster.21",93
"23","cluster.22",60
"24","cluster.23",81
"25","cluster.24",15
"26","cluster.25",22
"27","cluster.26",26
"28","cluster.27",35
"29","cluster.28",39
"30","cluster.29",26
"31","cluster.30",19
"32","cluster.31",25
"33","cluster.32",9
"34","cluster.33",6
"35","cluster.34",36
"36","cluster.35",61
"37","cluster.36",30
"38","cluster.37",12
"39","cluster.38",47
"40","cluster.39",15
"41","cluster.40",61
"42","cluster.41",7
"43","cluster.42",16
"44","cluster.43",11
"45","cluster.44",47
"46","cluster.45",20
"47","cluster.46",51
"48","cluster.47",16
"49","cluster.48",26
"50","cluster.49",15
"51","cluster.50",8
"52","cluster.51",32
"53","cluster.52",40
"54","cluster.53",35
"55","cluster.54",61
"56","cluster.55",49
"57","cluster.56",48
"58","cluster.57",25
"59","cluster.58",22
"60","cluster.59",8
"61","cluster.60",22
"62","cluster.61",63
"63","cluster.62",127
"64","cluster.63",39
"65","cluster.64",77
"66","cluster.65",17
"67","cluster.66",18
"68","cluster.67",5
"69","cluster.68",2
"70","cluster.69",100
"71","cluster.70",3
"72","cluster.71",9
"73","cluster.72",11
"74","cluster.73",12
"75","cluster.74",39
"76","cluster.75",4
"77","cluster.76",14
